fecha_vigencia,lista_id,planta,valor
01.07.2026,COMB-45-2026,CHIMBOTE,18.8564
01.07.2026,COMB-45-2026,CUSCO,20.6854
01.07.2026,COMB-45-2026,EL MILAGRO,19.2812
01.07.2026,COMB-45-2026,ETEN,18.8446
01.07.2026,COMB-45-2026,ILO,19.883
01.07.2026,COMB-45-2026,IQUITOS,16.18
01.07.2026,COMB-45-2026,JULIACA,20.5792
01.07.2026,COMB-45-2026,LIMA,18.9154
01.07.2026,COMB-45-2026,MOLLENDO,20.4022
01.07.2026,COMB-45-2026,PISCO,19.1278
01.07.2026,COMB-45-2026,PIURA,16.9684
01.07.2026,COMB-45-2026,PTO. MALDONADO,17.4883
01.07.2026,COMB-45-2026,PUCALLPA,16.24
01.07.2026,COMB-45-2026,SALAVERRY,19.5408
01.07.2026,COMB-45-2026,SUPE,19.3756
01.07.2026,COMB-45-2026,TALARA,16.7678
01.07.2026,COMB-45-2026,TARAPOTO,19.6765
01.07.2026,COMB-45-2026,YURIMAGUAS,13.5
01.09.2026,COMB-61-2026,CHIMBOTE,25.5942
01.09.2026,COMB-61-2026,CUSCO,26.9276
01.09.2026,COMB-61-2026,EL MILAGRO,26.1488
01.09.2026,COMB-61-2026,ETEN,25.7594
01.09.2026,COMB-61-2026,ILO,26.6132
01.09.2026,COMB-61-2026,IQUITOS,22.36
01.09.2026,COMB-61-2026,JULIACA,26.9866
01.09.2026,COMB-61-2026,LIMA,25.075
01.09.2026,COMB-61-2026,MOLLENDO,26.3612
01.09.2026,COMB-61-2026,PISCO,24.9452
01.09.2026,COMB-61-2026,PIURA,25.3346
01.09.2026,COMB-61-2026,PTO. MALDONADO,22.6583
01.09.2026,COMB-61-2026,PUCALLPA,21.47
01.09.2026,COMB-61-2026,SALAVERRY,26.5854
01.09.2026,COMB-61-2026,SUPE,25.2992
01.09.2026,COMB-61-2026,TALARA,25.134
01.09.2026,COMB-61-2026,TARAPOTO,26.4615
01.09.2026,COMB-61-2026,YURIMAGUAS,21.25
02.06.2026,COMB-34-2026,CHIMBOTE,19.7178
02.06.2026,COMB-34-2026,CUSCO,22.7268
02.06.2026,COMB-34-2026,EL MILAGRO,20.8152
02.06.2026,COMB-34-2026,ETEN,19.942
02.06.2026,COMB-34-2026,ILO,22.8802
02.06.2026,COMB-34-2026,IQUITOS,16.41
02.06.2026,COMB-34-2026,JULIACA,22.6206
02.06.2026,COMB-34-2026,LIMA,19.1868
02.06.2026,COMB-34-2026,MOLLENDO,22.4436
02.06.2026,COMB-34-2026,PISCO,19.6352
02.06.2026,COMB-34-2026,PIURA,18.5024
02.06.2026,COMB-34-2026,PTO. MALDONADO,19.1183
02.06.2026,COMB-34-2026,PUCALLPA,16.47
02.06.2026,COMB-34-2026,SALAVERRY,20.9922
02.06.2026,COMB-34-2026,SUPE,19.647
02.06.2026,COMB-34-2026,TALARA,18.3018
02.06.2026,COMB-34-2026,TARAPOTO,21.2105
02.06.2026,COMB-34-2026,YURIMAGUAS,15.2
03.02.2026,COMB-05-2026,CHIMBOTE,13.1098
03.02.2026,COMB-05-2026,CUSCO,14.6438
03.02.2026,COMB-05-2026,EL MILAGRO,14.691
03.02.2026,COMB-05-2026,ETEN,13.7116
03.02.2026,COMB-05-2026,ILO,14.2072
03.02.2026,COMB-05-2026,IQUITOS,12.01
03.02.2026,COMB-05-2026,JULIACA,14.5376
03.02.2026,COMB-05-2026,LIMA,13.4756
03.02.2026,COMB-05-2026,MOLLENDO,14.3606
03.02.2026,COMB-05-2026,PISCO,14.1246
03.02.2026,COMB-05-2026,PIURA,12.3782
03.02.2026,COMB-05-2026,PTO. MALDONADO,12.2683
03.02.2026,COMB-05-2026,PUCALLPA,12.0
03.02.2026,COMB-05-2026,SALAVERRY,13.9712
03.02.2026,COMB-05-2026,SUPE,13.924
03.02.2026,COMB-05-2026,TALARA,12.1776
03.02.2026,COMB-05-2026,TARAPOTO,15.0863
03.02.2026,COMB-05-2026,YURIMAGUAS,12.43
03.03.2026,COMB-11-2026,CHIMBOTE,13.8768
03.03.2026,COMB-11-2026,CUSCO,15.4108
03.03.2026,COMB-11-2026,EL MILAGRO,15.3282
03.03.2026,COMB-11-2026,ETEN,14.4786
03.03.2026,COMB-11-2026,ILO,14.9742
03.03.2026,COMB-11-2026,IQUITOS,12.66
03.03.2026,COMB-11-2026,JULIACA,15.3046
03.03.2026,COMB-11-2026,LIMA,14.2426
03.03.2026,COMB-11-2026,MOLLENDO,15.1276
03.03.2026,COMB-11-2026,PISCO,14.8916
03.03.2026,COMB-11-2026,PIURA,13.0154
03.03.2026,COMB-11-2026,PTO. MALDONADO,12.9183
03.03.2026,COMB-11-2026,PUCALLPA,12.65
03.03.2026,COMB-11-2026,SALAVERRY,14.7382
03.03.2026,COMB-11-2026,SUPE,14.691
03.03.2026,COMB-11-2026,TALARA,12.8148
03.03.2026,COMB-11-2026,TARAPOTO,15.7235
03.03.2026,COMB-11-2026,YURIMAGUAS,13.08
03.07.2026,COMB-46-2026,CHIMBOTE,18.8564
03.07.2026,COMB-46-2026,CUSCO,20.6854
03.07.2026,COMB-46-2026,EL MILAGRO,19.7532
03.07.2026,COMB-46-2026,ETEN,18.8446
03.07.2026,COMB-46-2026,ILO,19.883
03.07.2026,COMB-46-2026,IQUITOS,16.18
03.07.2026,COMB-46-2026,JULIACA,20.5792
03.07.2026,COMB-46-2026,LIMA,18.9154
03.07.2026,COMB-46-2026,MOLLENDO,20.4022
03.07.2026,COMB-46-2026,PISCO,19.1278
03.07.2026,COMB-46-2026,PIURA,17.4404
03.07.2026,COMB-46-2026,PTO. MALDONADO,17.4883
03.07.2026,COMB-46-2026,PUCALLPA,16.24
03.07.2026,COMB-46-2026,SALAVERRY,19.5408
03.07.2026,COMB-46-2026,SUPE,19.3756
03.07.2026,COMB-46-2026,TALARA,17.2398
03.07.2026,COMB-46-2026,TARAPOTO,20.1485
03.07.2026,COMB-46-2026,YURIMAGUAS,14.2
04.08.2026,COMB-56-2026,CHIMBOTE,25.0986
