periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
2025,HECARO,Ancash - Chimbote,27.87,2026-01-01,2026-03-31
2025,LMG,Ancash - Chimbote,24.15,2026-01-01,2026-03-31
2025,QOLPARO,Ancash - Chimbote,23.23,2026-01-01,2026-03-31
2025,HECARO,Arequipa,28.02,2026-01-01,2026-03-31
2025,LMG,Arequipa,22.42,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa,21.55,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Cusco,30.25,2026-01-01,2026-03-31
2025,LMG,Arequipa - Cusco,22.47,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Cusco,21.60,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca,30.67,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca,22.78,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca,21.90,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca - Cusco,28.46,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca - Cusco,21.14,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca - Cusco,20.33,2026-01-01,2026-03-31
2025,HECARO,Ayacucho,23.54,2026-01-01,2026-03-31
2025,LMG,Ayacucho,22.25,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho,21.40,2026-01-01,2026-03-31
2025,HECARO,Ayacucho - Huancavelica - Huanuco,21.51,2026-01-01,2026-03-31
2025,LMG,Ayacucho - Huancavelica - Huanuco,20.33,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho - Huancavelica - Huanuco,19.55,2026-01-01,2026-03-31
2025,HECARO,Cañete - Ica - Nazca,17.47,2026-01-01,2026-03-31
2025,LMG,Cañete - Ica - Nazca,18.17,2026-01-01,2026-03-31
2025,QOLPARO,Cañete - Ica - Nazca,16.61,2026-01-01,2026-03-31
2025,HECARO,Chiclayo,28.97,2026-01-01,2026-03-31
2025,LMG,Chiclayo,25.10,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo,23.40,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe - Cajamarca,31.06,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe - Cajamarca,26.92,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe - Cajamarca,25.88,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Piura,23.18,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Piura,20.09,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Piura,19.32,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Trujillo,14.70,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Trujillo,10.92,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Trujillo,10.50,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe,27.81,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe,24.10,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe,23.18,2026-01-01,2026-03-31
2025,HECARO,Cusco,32.85,2026-01-01,2026-03-31
2025,LMG,Cusco,24.40,2026-01-01,2026-03-31
2025,QOLPARO,Cusco,23.46,2026-01-01,2026-03-31
2025,HECARO,Cusco - Juliaca,28.26,2026-01-01,2026-03-31
2025,LMG,Cusco - Juliaca,20.99,2026-01-01,2026-03-31
2025,QOLPARO,Cusco - Juliaca,20.18,2026-01-01,2026-03-31
2025,HECARO,Huancayo,22.85,2026-01-01,2026-03-31
2025,LMG,Huancayo,21.61,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo,20.78,2026-01-01,2026-03-31
2025,HECARO,Huancayo - Huancavelica - Ayacucho,28.91,2026-01-01,2026-03-31
2025,LMG,Huancayo - Huancavelica - Ayacucho,27.34,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo - Huancavelica - Ayacucho,26.29,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Pucallpa,23.34,2026-01-01,2026-03-31
2025,LMG,Huanuco - Pucallpa,24.27,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Pucallpa,23.34,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,21.22,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,22.07,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,21.22,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Pucallpa,21.07,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Pucallpa,21.91,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Pucallpa,21.07,2026-01-01,2026-03-31
2025,HECARO,Jaen,27.20,2026-01-01,2026-03-31
2025,LMG,Jaen,30.04,2026-01-01,2026-03-31
2025,QOLPARO,Jaen,28.89,2026-01-01,2026-03-31
2025,HECARO,Mazuko,23.44,2026-01-01,2026-03-31
2025,LMG,Mazuko,24.37,2026-01-01,2026-03-31
2025,QOLPARO,Mazuko,23.44,2026-01-01,2026-03-31
2025,HECARO,Motupe,20.57,2026-01-01,2026-03-31
2025,LMG,Motupe,17.83,2026-01-01,2026-03-31
2025,QOLPARO,Motupe,17.14,2026-01-01,2026-03-31
2025,HECARO,Piura,21.30,2026-01-01,2026-03-31
2025,LMG,Piura,20.14,2026-01-01,2026-03-31
2025,QOLPARO,Piura,19.37,2026-01-01,2026-03-31
2025,HECARO,Pucallpa,23.70,2026-01-01,2026-03-31
2025,LMG,Pucallpa,24.65,2026-01-01,2026-03-31
2025,QOLPARO,Pucallpa,23.70,2026-01-01,2026-03-31
2025,HECARO,Trujillo,25.63,2026-01-01,2026-03-31
2025,LMG,Trujillo,14.81,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo,14.24,2026-01-01,2026-03-31
2025,HECARO,Trujillo - Chiclayo,25.98,2026-01-01,2026-03-31
2025,LMG,Trujillo - Chiclayo,19.30,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo - Chiclayo,18.55,2026-01-01,2026-03-31
ACTUAL,HECARO,Mazuko,28.83,2026-04-01,
ACTUAL,LMG,Mazuko,28.40,2026-04-01,
ACTUAL,HECARO,Ancash - Chimbote,41.61,2026-04-01,
ACTUAL,QOLPARO,Ancash - Chimbote,61.94,2026-04-01,
ACTUAL,LMG,Arequipa,27.52,2026-04-01,
ACTUAL,QOLPARO,Arequipa,24.62,2026-04-01,
ACTUAL,HECARO,Arequipa - Cusco,37.20,2026-04-01,
ACTUAL,LMG,Arequipa - Cusco,27.64,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Cusco,24.42,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca,37.72,2026-04-01,
