periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
2025,HECARO,Ancash - Chimbote,17.75,2026-01-01,2026-03-31
2025,LMG,Ancash - Chimbote,15.38,2026-01-01,2026-03-31
2025,QOLPARO,Ancash - Chimbote,14.79,2026-01-01,2026-03-31
2025,HECARO,Arequipa,23.29,2026-01-01,2026-03-31
2025,LMG,Arequipa,18.63,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa,17.92,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Cusco,21.96,2026-01-01,2026-03-31
2025,LMG,Arequipa - Cusco,16.31,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Cusco,15.69,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca,16.31,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca,12.12,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca,11.65,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca - Cusco,24.75,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca - Cusco,18.39,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca - Cusco,17.68,2026-01-01,2026-03-31
2025,HECARO,Ayacucho,18.08,2026-01-01,2026-03-31
2025,LMG,Ayacucho,17.09,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho,16.43,2026-01-01,2026-03-31
2025,HECARO,Ayacucho - Huancavelica - Huanuco,18.7,2026-01-01,2026-03-31
2025,LMG,Ayacucho - Huancavelica - Huanuco,17.68,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho - Huancavelica - Huanuco,17.0,2026-01-01,2026-03-31
2025,HECARO,Cañete - Ica - Nazca,15.19,2026-01-01,2026-03-31
2025,LMG,Cañete - Ica - Nazca,15.8,2026-01-01,2026-03-31
2025,QOLPARO,Cañete - Ica - Nazca,14.44,2026-01-01,2026-03-31
2025,HECARO,Chiclayo,26.0,2026-01-01,2026-03-31
2025,LMG,Chiclayo,22.53,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo,21.0,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe - Cajamarca,28.11,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe - Cajamarca,24.36,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe - Cajamarca,23.43,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Piura,20.16,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Piura,17.47,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Piura,16.8,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Trujillo,12.78,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Trujillo,9.5,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Trujillo,9.13,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe,24.75,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe,21.45,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe,20.63,2026-01-01,2026-03-31
2025,HECARO,Cusco,21.08,2026-01-01,2026-03-31
2025,LMG,Cusco,15.66,2026-01-01,2026-03-31
2025,QOLPARO,Cusco,15.05,2026-01-01,2026-03-31
2025,HECARO,Cusco - Juliaca,24.57,2026-01-01,2026-03-31
2025,LMG,Cusco - Juliaca,18.25,2026-01-01,2026-03-31
2025,QOLPARO,Cusco - Juliaca,17.55,2026-01-01,2026-03-31
2025,HECARO,Huancayo,7.4,2026-01-01,2026-03-31
2025,LMG,Huancayo,6.99,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo,6.72,2026-01-01,2026-03-31
2025,HECARO,Huancayo - Huancavelica - Ayacucho,25.14,2026-01-01,2026-03-31
2025,LMG,Huancayo - Huancavelica - Ayacucho,23.77,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo - Huancavelica - Ayacucho,22.86,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Pucallpa,19.98,2026-01-01,2026-03-31
2025,LMG,Huanuco - Pucallpa,20.78,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Pucallpa,19.98,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,18.46,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,19.19,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,18.46,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Pucallpa,19.98,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Pucallpa,20.78,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Pucallpa,19.98,2026-01-01,2026-03-31
2025,HECARO,Jaen,23.65,2026-01-01,2026-03-31
2025,LMG,Jaen,26.13,2026-01-01,2026-03-31
2025,QOLPARO,Jaen,25.12,2026-01-01,2026-03-31
2025,HECARO,Mazuko,19.06,2026-01-01,2026-03-31
2025,LMG,Mazuko,19.83,2026-01-01,2026-03-31
2025,QOLPARO,Mazuko,19.06,2026-01-01,2026-03-31
2025,HECARO,Motupe,18.2,2026-01-01,2026-03-31
2025,LMG,Motupe,15.77,2026-01-01,2026-03-31
2025,QOLPARO,Motupe,15.17,2026-01-01,2026-03-31
2025,HECARO,Piura,19.19,2026-01-01,2026-03-31
2025,LMG,Piura,18.15,2026-01-01,2026-03-31
2025,QOLPARO,Piura,17.45,2026-01-01,2026-03-31
2025,HECARO,Pucallpa,21.69,2026-01-01,2026-03-31
2025,LMG,Pucallpa,22.56,2026-01-01,2026-03-31
2025,QOLPARO,Pucallpa,21.69,2026-01-01,2026-03-31
2025,HECARO,Trujillo,23.48,2026-01-01,2026-03-31
2025,LMG,Trujillo,13.57,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo,13.04,2026-01-01,2026-03-31
2025,HECARO,Trujillo - Chiclayo,22.59,2026-01-01,2026-03-31
2025,LMG,Trujillo - Chiclayo,16.78,2026-01-01,2026-03-31
2025,QOLPARO,Trujillo - Chiclayo,16.13,2026-01-01,2026-03-31
ACTUAL,HECARO,Mazuko,23.45,2026-04-01,
ACTUAL,LMG,Mazuko,23.1,2026-04-01,
ACTUAL,HECARO,Ancash - Chimbote,26.5,2026-04-01,
ACTUAL,QOLPARO,Ancash - Chimbote,39.44,2026-04-01,
ACTUAL,LMG,Arequipa,22.87,2026-04-01,
ACTUAL,QOLPARO,Arequipa,20.46,2026-04-01,
ACTUAL,HECARO,Arequipa - Cusco,27.01,2026-04-01,
ACTUAL,LMG,Arequipa - Cusco,20.07,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Cusco,17.73,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca,20.06,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca,14.9,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca,12.66,2026-04-01,
ACTUAL,HECARO,Arequipa - Juliaca - Cusco,30.44,2026-04-01,
ACTUAL,LMG,Arequipa - Juliaca - Cusco,22.74,2026-04-01,
ACTUAL,QOLPARO,Arequipa - Juliaca - Cusco,19.99,2026-04-01,
ACTUAL,HECARO,Ayacucho,22.24,2026-04-01,
ACTUAL,QOLPARO,Ayacucho,20.87,2026-04-01,
ACTUAL,HECARO,Ayacucho - Huancavelica - Huanuco,23.0,2026-04-01,
ACTUAL,QOLPARO,Ayacucho - Huancavelica - Huanuco,18.41,2026-04-01,
ACTUAL,HECARO,Cañete - Ica - Nazca,18.68,2026-04-01,
ACTUAL,QOLPARO,Cañete - Ica - Nazca,22.41,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe,30.44,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe,21.97,2026-04-01,
ACTUAL,HECARO,Chiclayo - Motupe - Cajamarca,34.58,2026-04-01,
ACTUAL,LMG,Chiclayo - Motupe - Cajamarca,28.79,2026-04-01,
ACTUAL,QOLPARO,Chiclayo - Motupe - Cajamarca,28.81,2026-04-01,
ACTUAL,HECARO,Cusco,25.92,2026-04-01,
ACTUAL,QOLPARO,Cusco,18.21,2026-04-01,
ACTUAL,HECARO,Cusco - Juliaca,30.22,2026-04-01,
ACTUAL,LMG,Cusco - Juliaca,22.45,2026-04-01,
ACTUAL,QOLPARO,Cusco - Juliaca,17.55,2026-04-01,
ACTUAL,HECARO,Huancayo,9.1,2026-04-01,
ACTUAL,HECARO,Huancayo - Huancavelica - Ayacucho,30.92,2026-04-01,
ACTUAL,QOLPARO,Huancayo - Huancavelica - Ayacucho,24.84,2026-04-01,
ACTUAL,HECARO,Huanuco - Pucallpa,24.58,2026-04-01,
ACTUAL,QOLPARO,Huanuco - Pucallpa,22.01,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria,27.7,2026-04-01,
ACTUAL,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,22.7,2026-04-01,
