periodo_tarifa,proveedor,ruta,sol_galon,vigencia_desde,vigencia_hasta
2025,HECARO,Ancash - Chimbote,14.55,2026-01-01,2026-03-31
2025,LMG,Ancash - Chimbote,12.55,2026-01-01,2026-03-31
2025,QOLPARO,Ancash - Chimbote,12.71,2026-01-01,2026-03-31
2025,HECARO,Arequipa,19.09,2026-01-01,2026-03-31
2025,LMG,Arequipa,15.2,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa,15.4,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Cusco,18.0,2026-01-01,2026-03-31
2025,LMG,Arequipa - Cusco,13.31,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Cusco,13.48,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca,13.37,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca,9.88,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca,10.01,2026-01-01,2026-03-31
2025,HECARO,Arequipa - Juliaca - Cusco,20.29,2026-01-01,2026-03-31
2025,LMG,Arequipa - Juliaca - Cusco,15.0,2026-01-01,2026-03-31
2025,QOLPARO,Arequipa - Juliaca - Cusco,15.19,2026-01-01,2026-03-31
2025,HECARO,Ayacucho,14.82,2026-01-01,2026-03-31
2025,LMG,Ayacucho,13.94,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho,14.12,2026-01-01,2026-03-31
2025,HECARO,Ayacucho - Huancavelica - Huanuco,15.33,2026-01-01,2026-03-31
2025,LMG,Ayacucho - Huancavelica - Huanuco,14.42,2026-01-01,2026-03-31
2025,QOLPARO,Ayacucho - Huancavelica - Huanuco,14.61,2026-01-01,2026-03-31
2025,HECARO,Cañete - Ica - Nazca,12.45,2026-01-01,2026-03-31
2025,LMG,Cañete - Ica - Nazca,12.89,2026-01-01,2026-03-31
2025,QOLPARO,Cañete - Ica - Nazca,12.41,2026-01-01,2026-03-31
2025,HECARO,Chiclayo,21.31,2026-01-01,2026-03-31
2025,LMG,Chiclayo,18.38,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo,18.05,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe - Cajamarca,23.04,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe - Cajamarca,19.87,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe - Cajamarca,20.13,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Piura,16.53,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Piura,14.25,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Piura,14.44,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Trujillo,10.48,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Trujillo,7.74,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Trujillo,7.85,2026-01-01,2026-03-31
2025,HECARO,Chiclayo - Motupe,20.29,2026-01-01,2026-03-31
2025,LMG,Chiclayo - Motupe,17.5,2026-01-01,2026-03-31
2025,QOLPARO,Chiclayo - Motupe,17.73,2026-01-01,2026-03-31
2025,HECARO,Cusco,17.28,2026-01-01,2026-03-31
2025,LMG,Cusco,12.77,2026-01-01,2026-03-31
2025,QOLPARO,Cusco,12.94,2026-01-01,2026-03-31
2025,HECARO,Cusco - Juliaca,20.14,2026-01-01,2026-03-31
2025,LMG,Cusco - Juliaca,14.89,2026-01-01,2026-03-31
2025,QOLPARO,Cusco - Juliaca,15.08,2026-01-01,2026-03-31
2025,HECARO,Huancayo,6.06,2026-01-01,2026-03-31
2025,LMG,Huancayo,5.7,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo,5.78,2026-01-01,2026-03-31
2025,HECARO,Huancayo - Huancavelica - Ayacucho,20.61,2026-01-01,2026-03-31
2025,LMG,Huancayo - Huancavelica - Ayacucho,19.39,2026-01-01,2026-03-31
2025,QOLPARO,Huancayo - Huancavelica - Ayacucho,19.64,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Pucallpa,16.38,2026-01-01,2026-03-31
2025,LMG,Huanuco - Pucallpa,16.95,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Pucallpa,17.17,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,15.13,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Chanchamayo - Satipo,15.66,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Chanchamayo - Satipo,15.86,2026-01-01,2026-03-31
2025,HECARO,Huanuco - Tingo Maria - Pucallpa,16.38,2026-01-01,2026-03-31
2025,LMG,Huanuco - Tingo Maria - Pucallpa,16.95,2026-01-01,2026-03-31
2025,QOLPARO,Huanuco - Tingo Maria - Pucallpa,17.17,2026-01-01,2026-03-31
2025,HECARO,Jaen,19.39,2026-01-01,2026-03-31
2025,LMG,Jaen,21.31,2026-01-01,2026-03-31
2025,QOLPARO,Jaen,21.59,2026-01-01,2026-03-31
2025,HECARO,Mazuko,15.63,2026-01-01,2026-03-31
2025,LMG,Mazuko,16.17,2026-01-01,2026-03-31
2025,QOLPARO,Mazuko,16.38,2026-01-01,2026-03-31
2025,HECARO,Motupe,14.92,2026-01-01,2026-03-31
2025,LMG,Motupe,12.87,2026-01-01,2026-03-31
2025,QOLPARO,Motupe,13.03,2026-01-01,2026-03-31
2025,HECARO,Piura,15.73,2026-01-01,2026-03-31
2025,LMG,Piura,14.8,2026-01-01,2026-03-31
2025,QOLPARO,Piura,14.99,2026-01-01,2026-03-31
2025,HECARO,Pucallpa,17.78,2026-01-01,2026-03-31
2025,LMG,Pucallpa,18.4,2026-01-01,2026-03-31
2025,QOLPARO,Pucallpa,18.64,2026-01-01,2026-03-31
